review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R9YVVHEC3OMRL,2.0,208.0,218.0,N,Y
R17L87FPY2OYIG,5.0,215.0,218.0,N,N
R299E0ELGJTBG7,4.0,211.0,218.0,N,Y
R29O4UPQMVHZHR,4.0,203.0,217.0,N,Y
RIT8TK3WM590Z,1.0,209.0,217.0,N,Y
R1TD5Y3K6EE8HP,5.0,209.0,217.0,N,Y
R3LHP4JGD32LML,5.0,185.0,217.0,N,N
R2MXE4ARJIEH7J,5.0,212.0,217.0,N,Y
RAHAGNFS6GZ54,4.0,197.0,217.0,N,Y
R2KRF8X3TX51R,5.0,192.0,216.0,N,N
R2YXS5M7G7XJZ9,5.0,198.0,216.0,N,Y
R2U8Z1HUK0AJNS,4.0,204.0,216.0,N,Y
R2N7VC3TCXH0ID,5.0,201.0,215.0,N,N
RB9KQ2Q5BTHT3,4.0,201.0,214.0,N,Y
R2CG73878EJBAX,4.0,187.0,214.0,N,N
RHOISUPV129J,4.0,190.0,212.0,N,Y
R1Q1JMECSK54KZ,5.0,205.0,211.0,N,Y
R3L2RFQNF01A30,4.0,200.0,211.0,N,Y
R1KBWXAI81O7VM,5.0,190.0,210.0,N,Y
R1RH818XCQ5MWY,1.0,198.0,210.0,N,Y
RCB1PA146K6RF,5.0,209.0,209.0,N,Y
RJZ3CZ899WUJM,5.0,208.0,209.0,N,Y
RSKPOUB8GBSG2,5.0,198.0,209.0,N,Y
RNIIHVWXC452Y,5.0,188.0,208.0,N,Y
R1B096H0G6KX21,5.0,192.0,207.0,N,Y
R2ZY7NF84U4W0K,5.0,199.0,207.0,N,Y
R1E6RQVRBA3WJA,5.0,186.0,205.0,N,Y
R2KM2MDBYTOLCS,1.0,177.0,204.0,N,Y
RXZG8J1PXF2H,5.0,194.0,203.0,N,Y
R7N0V69Z9VTDX,5.0,197.0,203.0,N,N
R2X2S359WF16LY,5.0,201.0,203.0,N,N
R3LKSBR9447300,5.0,198.0,203.0,N,Y
R5ON2K2Y01YID,5.0,192.0,203.0,N,N
R3IWG79H5A76CK,4.0,186.0,201.0,N,N
RWBFEIWJQJRLL,1.0,178.0,200.0,N,N
R12BYUGIJQBSH0,1.0,174.0,200.0,N,Y
R1UFY63B6KERXO,5.0,191.0,200.0,N,Y
R3MSBS41R1Y95N,5.0,192.0,199.0,N,N
R1ZQEWOBUT2KKZ,2.0,189.0,198.0,N,Y
R6JL6PG630YXE,5.0,184.0,197.0,N,N
R28XT7S0N8UKJT,3.0,186.0,197.0,N,N
R2APWVVSB3BU1J,2.0,159.0,197.0,N,Y
R7ANF4SAT0XVS,5.0,176.0,197.0,N,Y
R34XU455WJFQT9,5.0,194.0,196.0,N,N
RMJCM54DWPAV4,1.0,176.0,194.0,N,Y
RESFSKJKBVFBJ,4.0,184.0,194.0,N,Y
R3URZUD5T0DVQN,5.0,192.0,194.0,N,Y
R1ND0517B8ULPD,1.0,160.0,193.0,N,Y
RJ6HM073VRQ2K,5.0,187.0,193.0,N,Y
R1BS8HF3OS823Q,5.0,189.0,193.0,N,Y
R2Y37V3LLQZ2XY,5.0,183.0,192.0,N,Y
RMC5IWJSMT7E4,4.0,187.0,192.0,N,Y
R3EA6ESA47H0LT,5.0,185.0,192.0,N,Y
R2P9PS3PJ16HNN,3.0,183.0,192.0,N,Y
R3J5UIVNVEQS7W,5.0,183.0,191.0,N,Y
R11V69WS1LHBK,5.0,185.0,191.0,N,Y
R2WQ720XD7G9WV,5.0,182.0,191.0,N,Y
R2RC2TSAUJNTO2,3.0,178.0,191.0,N,Y
R128EKQJEBXE2H,2.0,175.0,190.0,N,Y
R1ZVT9TNF2RO7X,5.0,186.0,190.0,N,Y
R1QMPJZUP8P5I0,5.0,187.0,189.0,N,Y
R2H2HEN9E4V3SN,5.0,178.0,187.0,N,N
RSSR5NKZCLRYO,5.0,177.0,187.0,N,Y
R3FEOTFS64W3HK,4.0,181.0,186.0,N,Y
RGBM2DTPCQUNB,5.0,180.0,186.0,N,Y
R1NQQ5LYB536LC,5.0,181.0,186.0,N,Y
R39UPFKUZH66R2,2.0,181.0,186.0,N,Y
R3URJU3T7503M8,5.0,183.0,185.0,N,Y
R26PL5HIZONGLQ,5.0,180.0,185.0,N,Y
R381ME5G9AGE77,5.0,174.0,185.0,N,N
R19WIHHRZV7QL5,5.0,181.0,184.0,N,N
R1P1FSBZ8LDJEV,5.0,167.0,184.0,N,N
R1H3Q2GLXAZE0Q,3.0,170.0,184.0,N,N
R3U5Y8RGYUHERG,1.0,179.0,183.0,N,Y
R2T8PX9SL69RB3,1.0,158.0,183.0,N,Y
R2BH1FUAQM4CE,5.0,168.0,183.0,N,Y
REDINOD85PZ16,5.0,179.0,182.0,N,N
R2712WSNNGFE9R,3.0,164.0,182.0,N,Y
R3I359FR208A8G,5.0,170.0,181.0,N,Y
R2M199M1EL22X3,5.0,170.0,180.0,N,Y
RFZ8JY7I6YDYW,1.0,174.0,180.0,N,Y
RHQELPHROBVXC,5.0,164.0,180.0,N,Y
R29T4B70K662WM,5.0,176.0,180.0,N,Y
R1NZUDT340447Q,2.0,164.0,179.0,N,Y
R3UJZ8EO9WHX4W,5.0,170.0,178.0,N,Y
R1M47CAD7SZFUD,5.0,171.0,178.0,N,Y
R12OGXSY2ITF1X,3.0,173.0,178.0,N,Y
RJNFJ96RV64LN,5.0,165.0,178.0,N,N
R2OYD34QJZZ2XY,5.0,175.0,178.0,N,Y
R2D66M97515CU4,4.0,178.0,178.0,N,Y
R2GPTVIQRNP6AG,1.0,167.0,177.0,N,Y
R1NTEQTYF9Z862,2.0,172.0,177.0,N,Y
R58BG4YMIKRVK,5.0,171.0,177.0,N,Y
R1135M0G5ZLKT6,4.0,172.0,177.0,N,Y
R2UU37NY0GSHH3,1.0,162.0,176.0,N,Y
RQWVCPX2FSQII,5.0,167.0,176.0,N,Y
R1H929P1XOXKAD,5.0,164.0,176.0,N,N
RP00Q28EHNHUS,1.0,164.0,175.0,N,N
R1U7SNYFD2MBZ7,5.0,171.0,175.0,N,Y
R5F61QKRCAUAH,5.0,168.0,175.0,N,Y
R3BXHRAFLWE8CS,5.0,165.0,175.0,N,Y
R3HC1R56FDGIC1,3.0,159.0,175.0,N,Y
R3K6IWWCMZYOMN,5.0,174.0,175.0,N,Y
R3MICNR3MJ7KBJ,5.0,158.0,174.0,N,Y
R3TY4PNE0DWWCA,5.0,164.0,174.0,N,Y
R1Z0V7UM2OLNDC,4.0,159.0,173.0,N,Y
R2H2MDRJ5NEYPG,5.0,164.0,173.0,N,Y
RX8ZITD1GT84R,1.0,152.0,173.0,N,N
R1B4CIFREZ1AR3,3.0,140.0,172.0,N,N
R39SWKLAF1BPAR,1.0,162.0,172.0,N,Y
R19YSL1NW4CEAR,4.0,163.0,172.0,N,Y
R2IYT6VYYY4UKJ,1.0,163.0,172.0,N,Y
R1HOQ3SA9TW5I9,5.0,169.0,171.0,N,Y
R2Q20MUFLRBJDP,4.0,166.0,171.0,N,N
R2HHHB0GAGT1UH,5.0,171.0,171.0,N,N
R27DNMGKPDH8UT,1.0,151.0,171.0,N,Y
ROEP1JFJ7D1A,5.0,162.0,171.0,N,Y
R10VYJ9ED4IRRS,4.0,170.0,171.0,N,Y
RYH7Z5A23R3NH,4.0,152.0,170.0,N,Y
REFKYQPI3TF2,2.0,147.0,169.0,N,Y
R1Z3IFUKOZB6GC,5.0,164.0,169.0,N,Y
R224B4RH6RJ1PL,4.0,140.0,169.0,N,Y
R3C0EC3UTTUYU4,5.0,168.0,169.0,N,Y
R26NQMYG33AGVY,3.0,161.0,169.0,N,Y
R2SFYMP6369KYQ,4.0,151.0,168.0,N,Y
RQINJI4LWC2OV,1.0,157.0,168.0,N,Y
R3TFXUNC2ONASK,1.0,146.0,168.0,N,Y
RHL4Q67IVBG3X,5.0,161.0,167.0,N,Y
R2EA8HZL2FCU44,1.0,158.0,167.0,N,Y
R2350KQ90UJBIY,5.0,163.0,167.0,N,Y
RVQK3P8QUCL2G,1.0,149.0,166.0,N,Y
R1KPXPTN39K8A8,5.0,162.0,166.0,N,N
RBG9DG2QCAPWT,5.0,159.0,166.0,N,Y
R1JRPACRBRHMZ,3.0,163.0,165.0,N,Y
R6SF7YA575SPB,5.0,160.0,165.0,N,Y
R2122K9UJGHUR,5.0,155.0,164.0,N,Y
R17B1S38MLVHAR,3.0,158.0,164.0,N,Y
R1CCCYWDR93LWS,4.0,163.0,164.0,N,Y
RYMD886I5100P,3.0,154.0,163.0,N,Y
R1WE2GQ1ISSHM0,5.0,156.0,163.0,N,Y
R2MOXATHX9Y9EM,5.0,155.0,163.0,N,Y
R3TFGTWUF43HB2,5.0,157.0,163.0,N,N
R1MVLSXZ0Q8VCB,3.0,158.0,162.0,N,Y
R7VL7YL14UEU2,4.0,155.0,162.0,N,Y
R338R80EX0MEPJ,4.0,151.0,162.0,N,N
R12U3UXCIWXLV6,4.0,144.0,161.0,N,Y
R3QI87UXH18NQ5,2.0,139.0,161.0,N,Y
R1D3DIEHN0NM90,5.0,157.0,161.0,N,Y
R1VI4OXOA0DTZO,5.0,147.0,160.0,N,N
R3VD0MWG2U5553,5.0,149.0,160.0,N,Y
R34NF64ZC8GPD2,5.0,157.0,160.0,N,Y
R1SNUWYAFOX14U,5.0,155.0,160.0,N,Y
R3LDM82WNL8D0D,3.0,157.0,160.0,N,N
RMPNRUNS7E7CU,4.0,159.0,160.0,N,Y
R3LP2BDE1M5WL9,5.0,149.0,160.0,N,Y
R35XJUF6VT2CLW,5.0,149.0,160.0,N,Y
R19RAA1PKKQGON,5.0,153.0,160.0,N,Y
RRNUMYQ3WHYB7,5.0,156.0,159.0,N,Y
R3JAISAU1ESUJB,2.0,152.0,159.0,N,Y
R2TFULFKUB38CE,5.0,148.0,159.0,N,Y
R2N3OVP04QJASU,5.0,156.0,158.0,N,Y
R1YH5BC8Q7PNUK,5.0,149.0,158.0,N,N
R3L668H6S9BZ4P,4.0,152.0,158.0,N,N
R38GO274JYZF2C,1.0,155.0,158.0,N,Y
R3LCR4BIDWXK0N,5.0,152.0,158.0,N,Y
R1XLMOWHV6TWR3,5.0,156.0,157.0,N,Y
RWJ6PXWS8MNL2,5.0,152.0,157.0,N,N
R32UVIQJ32WPLR,5.0,156.0,156.0,N,N
R139LWX2VLV8IO,5.0,155.0,156.0,N,Y
R310W1SWQ7QI1H,5.0,142.0,156.0,N,Y
R1SO338T3J8RPR,5.0,153.0,156.0,N,Y
RAK5U2667NQ1N,5.0,138.0,155.0,N,Y
R2DPS6M7G3DLDY,5.0,151.0,155.0,N,Y
R19M3A7FQTVZIA,5.0,155.0,155.0,N,Y
RUSNI6FKTV1SX,4.0,153.0,155.0,N,Y
R3AMV4QRNLF72A,4.0,151.0,155.0,N,Y
R128P2C82H8T7H,5.0,146.0,154.0,N,Y
R1H75XB70BE801,5.0,152.0,154.0,N,Y
R18JT3CHU4FG5S,5.0,146.0,154.0,N,Y
RVN17VWGHZRKJ,5.0,152.0,154.0,N,Y
R9IP3YK25FFCB,5.0,146.0,153.0,N,Y
R1IJ6ZTOZQJX6A,5.0,148.0,153.0,N,Y
R35IKGZQP5RX90,1.0,138.0,153.0,N,Y
R19LOY1ZO1AIC8,4.0,151.0,153.0,N,N
R49EDFFCURIYY,2.0,151.0,153.0,N,Y
R37HPXC0FUJKRF,5.0,150.0,153.0,N,Y
RLUVVD8VP3WH3,4.0,146.0,153.0,N,Y
R2PVW0YU7F3XK1,4.0,146.0,152.0,N,Y
R3S5O76Q2Z9X5A,5.0,149.0,152.0,N,Y
R30IJZIKBCD56Y,5.0,148.0,152.0,N,Y
R2S1A6AMMDE04B,5.0,150.0,152.0,N,Y
R3182TU4LGR20T,5.0,150.0,152.0,N,Y
R3TLJJAR8YDCVA,3.0,132.0,152.0,N,Y
R3R73BVC9GZQNC,5.0,147.0,152.0,N,Y
RUI1JAM7KPOU8,5.0,150.0,151.0,N,Y
R2FHBOSBVX2YY9,4.0,145.0,150.0,N,N
R210KZVW7SFKKE,5.0,136.0,150.0,N,N
R2ZCR4HDNF39UV,5.0,148.0,150.0,N,Y
R14OHJGWL2RQO0,5.0,134.0,149.0,N,N
R1WXIM5SAONZIE,5.0,140.0,149.0,N,Y
R1FKSZXI8N0M9G,4.0,143.0,149.0,N,Y
RXF6UHM3NO3CI,5.0,140.0,149.0,N,Y
R3HCVCQ9214S1G,5.0,144.0,148.0,N,N
R3SQ3IDXRJTXDN,5.0,141.0,148.0,N,Y
R39LC0OB1SRS3T,2.0,118.0,148.0,N,Y
R3DG8J15W64W29,4.0,142.0,148.0,N,N
R1M60D468NYHZ3,5.0,142.0,148.0,N,Y
R9BOEXA4D4QLR,4.0,145.0,148.0,N,N
RWCTPE1XLU8TJ,5.0,144.0,147.0,N,N
R256LZF5RS3ZAS,5.0,142.0,147.0,N,N
R2QMF1Z1QBQCHP,5.0,138.0,147.0,N,N
R37QWPLTIK5WLK,4.0,135.0,147.0,N,N
R1QLOJV4WR1V8L,5.0,136.0,147.0,N,Y
R2TY2XHOKF74JZ,1.0,125.0,147.0,N,Y
R2OSIN8G51297G,5.0,145.0,146.0,N,Y
R39MU00UW27X9K,5.0,137.0,146.0,N,N
RMFQPU7MOM4I8,5.0,139.0,146.0,N,Y
RY29CHEZ48E51,5.0,136.0,146.0,N,Y
R31VE3SMXZ74OG,5.0,138.0,145.0,N,Y
R5CD4D8XWOVTJ,5.0,143.0,145.0,N,Y
RAA915QK8CT1W,1.0,126.0,145.0,N,N
R2Y1O26SKW0MKH,5.0,134.0,144.0,N,N
R2E8S9FRSWA1VA,5.0,132.0,144.0,N,Y
R2NR52U98I5KDS,1.0,121.0,143.0,N,Y
R2NF32C11105KB,3.0,142.0,143.0,N,N
R3TEQ1K3QCNQ3C,5.0,140.0,142.0,N,N
RXHULJ092PTDO,5.0,129.0,142.0,N,Y
RPQFLOYTSYI33,5.0,142.0,142.0,N,Y
R19MX6E63697OI,1.0,126.0,142.0,N,N
R1H24EGVD60VPT,2.0,138.0,141.0,N,Y
R2EP8X600J7MZ7,5.0,133.0,141.0,N,Y
R1QMIDBEODMPA7,5.0,136.0,141.0,N,Y
R3HTI8019266P6,5.0,134.0,141.0,N,Y
R1YTMJXK8UAEH9,1.0,139.0,141.0,N,Y
R2EXB878UOF2Q9,1.0,125.0,140.0,N,Y
R2CEK4AJ11N80N,2.0,127.0,140.0,N,Y
R1XJTYRNFVWT1,5.0,136.0,140.0,N,Y
R3TUTNRH0U0ZOC,1.0,137.0,140.0,N,Y
